EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,Salary,YearsAtCompany,YearsInCurrentRole,JobSatisfaction,WorkLifeBalance,Overtime,DistanceFromHome,TrainingTimesLastYear,PerformanceRating,NumCompaniesWorked,StockOptionLevel,TotalWorkingYears,JobInvolvement,Education,EnvironmentSatisfaction,MonthlyIncome,JobLevel,YearsSinceLastPromotion,YearsWithCurrManager,HourlyRate,DailyRate,MonthlyRate,Attrition
1,50,Female,Married,Operations,Manager,49942,25,16,4,2,Yes,21,2,4,1,2,31,3,High School,3,10084,3,11,14,17,696,6691,No
2,36,Male,Divorced,Sales,Analyst,50862,8,19,2,3,No,10,5,4,5,1,34,2,High School,4,15455,3,9,11,83,254,9669,No
3,29,Male,Married,IT,Clerk,41669,1,6,1,4,Yes,16,7,4,5,0,29,2,Master's,2,13607,2,9,4,25,1292,26213,No
4,42,Male,Married,Operations,Executive,83772,20,11,2,4,Yes,7,8,2,3,2,3,1,Bachelor's,4,19919,1,1,6,61,895,20280,No
5,40,Male,Divorced,HR,Engineer,45916,23,5,4,1,No,4,5,4,4,0,9,2,High School,4,17236,2,11,14,35,371,21449,No
6,44,Female,Married,Sales,Clerk,40878,32,16,1,4,Yes,27,4,3,4,1,11,3,PhD,3,19236,3,5,6,17,1670,4748,Yes
7,32,Female,Divorced,Sales,Manager,32985,11,7,4,2,Yes,25,1,2,1,1,11,2,Bachelor's,4,13819,1,13,12,54,1543,25076,Yes
8,32,Female,Divorced,HR,Engineer,127905,39,5,2,4,Yes,31,1,1,4,1,25,3,Master's,4,14969,2,6,2,93,1307,4661,Yes
9,45,Male,Married,Operations,Executive,103648,24,11,3,1,Yes,11,8,2,1,2,22,1,PhD,1,14700,1,5,12,90,1734,21362,No
10,57,Female,Married,Finance,Clerk,71235,11,15,3,2,No,48,1,1,5,2,9,4,High School,4,3543,1,7,2,28,1360,25333,No
11,45,Male,Single,HR,Engineer,48931,29,3,2,4,No,20,1,1,3,0,20,3,Bachelor's,3,6900,4,8,1,26,1632,24759,Yes
12,24,Female,Divorced,Operations,Clerk,122876,26,5,2,4,Yes,36,2,3,3,2,21,4,PhD,4,14945,2,7,3,74,1564,24843,No
13,43,Male,Single,HR,Clerk,30336,16,5,2,3,No,17,2,4,5,2,10,1,Bachelor's,3,7224,3,4,16,38,1080,17173,No
14,23,Male,Married,HR,Executive,72933,35,9,1,1,Yes,45,3,4,2,1,22,3,High School,2,16758,2,7,5,23,221,28399,Yes
15,45,Female,Single,IT,Analyst,114899,20,15,4,4,No,11,6,2,2,0,29,3,Bachelor's,4,17949,2,9,10,26,1540,13599,No
16,51,Female,Divorced,Operations,Engineer,75536,3,3,4,3,No,30,8,4,4,1,9,2,PhD,4,5866,2,14,5,22,1658,8107,No
17,59,Female,Single,Finance,Executive,99504,1,6,4,2,No,35,1,3,1,0,5,3,Bachelor's,4,11268,4,14,1,72,1498,14698,No
18,23,Female,Divorced,IT,Clerk,129214,1,17,2,3,No,41,3,2,3,0,11,1,Master's,2,15813,1,9,16,42,1698,28324,No
